,label,youtube_id,time_start,time_end,split
151,kitesurfing,-qAw50ILrII,5,15,train
152,kitesurfing,04gqPdWhR2A,68,78,train
153,kitesurfing,0GcQVXb1Ja8,1,11,train
154,kitesurfing,1e2wCboL5Qk,1,11,train
155,kitesurfing,1l-pRTJebXU,63,73,train
156,kitesurfing,1o5W0kY95K4,331,341,train
157,kitesurfing,1wgICYAd8z0,14,24,train
158,ice climbing,-2jPR5x7kLw,135,145,train
159,ice climbing,-3S3VX06QHg,32,42,train
160,ice climbing,-3W9JmAcHxI,4,14,train
161,ice climbing,-3pWBL1TJZg,0,10,train
162,ice climbing,-3wWE2UjjWM,163,173,train
163,ice climbing,-6uc4CaBkoQ,19,29,train
164,ice climbing,-AetVIjLsmA,20,30,train
165,ice climbing,-Tc_jXvqZ4M,158,168,train
166,ice climbing,-cvCs8pZzL0,465,475,train
167,ice climbing,-pffMaC5Zj8,183,193,train
168,ice climbing,-vBDJ8anp5M,75,85,train
169,ice climbing,-wUXnlNKdrI,28,38,train
170,ice climbing,01w4VojhEdw,72,82,train
171,ice climbing,06-qiWK9ZuQ,295,305,train
172,ice climbing,0G4ivBZu6Dg,64,74,train
173,slacklining,-DVSkbP_NPw,3,13,train
174,slacklining,-R2uB75NL2M,0,10,train
175,slacklining,-lvctdCLT7o,23,33,train
176,slacklining,-sHz1Wgt6fM,3,13,train
177,slacklining,04c4Hbv_CV8,79,89,train
178,slacklining,052wTA4L8tc,89,99,train
179,slacklining,06EsQkYyYoY,12,22,train
180,slacklining,0Gahp_qqm2Y,1,11,train
181,slacklining,0N2Gr96deE0,7,17,train
182,slacklining,0UX-kwgZh8c,26,36,train
183,slacklining,0pSSwNB_cjk,50,60,train
184,slacklining,1EnO4VgReN4,6,16,train
185,slacklining,1LWwVogTUUo,161,171,train
186,slacklining,1pE_kHpqIds,21,31,train
187,slacklining,1qFBfyDwOhQ,41,51,train
188,chopping wood,-JmAezdkneo,200,210,train
189,chopping wood,-L-WOazh1xI,2,12,train
190,chopping wood,-LmFPtnbal0,8,18,train
191,chopping wood,-UlDO6K_3qU,19,29,train
192,chopping wood,-Wx087CwsdQ,11,21,train
193,chopping wood,-X-BY_g8vCY,5,15,train
194,chopping wood,-jSa98fL8vU,3,13,train
195,chopping wood,-nIkLweYb7w,4,14,train
196,chopping wood,-nwWj-o-7Bc,218,228,train
197,chopping wood,-tGmOoY7SJI,3,13,train
198,chopping wood,0FKPqZVJfIY,45,55,train
199,chopping wood,0KUe_fP8oa0,29,39,train
200,chopping wood,0QD0fXAMdqQ,48,58,train
201,chopping wood,0TdX2-rZV4k,35,45,train
202,chopping wood,0Uz544_Ex8w,29,39,train
203,cartwheeling,-2IvRufK7uc,19,29,train
204,cartwheeling,-cHcdrL3upI,1,11,train
205,cartwheeling,-kNuIQKh_Aw,28,38,train
206,cartwheeling,-lXtc6lpU8M,4,14,train
207,cartwheeling,-wX6O9fkmm0,1,11,train
208,cartwheeling,02KL2MkN2X8,0,10,train
209,cartwheeling,03XaKfcbTlA,1,11,train
210,cartwheeling,08KSXZ6uTzU,2,12,train
211,cartwheeling,0ATL5vd5Oks,0,10,train
212,cartwheeling,0DH97RkBp3M,298,308,train
213,cartwheeling,0PStjrGD_-A,1,11,train
214,cartwheeling,0PtPkJPCD40,0,10,train
215,cartwheeling,0m1klw4C9XA,5,15,train
216,cartwheeling,14RZeKXUlAs,0,10,train
217,cartwheeling,16xyTOyqzS4,1,11,train
218,archery,-1q7jA3DXQM,5,15,train
219,archery,-5NN5hdIwTc,36,46,train
220,archery,-GcVBfs4zw8,7,17,train
221,archery,-Hn5WqDh9hI,104,114,train
222,archery,-Njxj40a0OQ,0,10,train
223,archery,-OVw1usq968,213,223,train
224,archery,-R5E3-cmrq8,0,10,train
225,archery,-RZ9mL8wnJc,25,35,train
226,archery,-SqXDd4XIJM,32,42,train
227,archery,-U1ym96B9l4,10,20,train
228,archery,-WrKlvp_x_0,75,85,train
229,archery,-X2LRaGih1s,3,13,train
230,archery,-bWbDpWY0ec,71,81,train
231,archery,-kZd1pPQnXQ,35,45,train
232,archery,-lPLLbPsMDU,16,26,train
233,welding,-4cQyIDxeQ4,190,200,train
234,welding,-54PCruVW7I,447,457,train
235,welding,-IEPj0qrBC0,55,65,train
236,welding,-KS4TcXps5o,391,401,train
237,welding,-a3UohTW8Rw,44,54,train
238,welding,-eHgNrBLlHE,3,13,train
239,welding,-fPCLShF8q8,22,32,train
240,welding,-genJfLPizE,95,105,train
241,welding,-ijkA4UHz_U,3,13,train
242,welding,-m7uz_-15bc,3,13,train
243,welding,-qGtvI0XRyM,113,123,train
244,welding,0Nhl-MOqbAg,145,155,train
245,welding,0_uCAYQJCag,70,80,train
246,welding,0apW4e7WjDw,177,187,train
247,roller skating,-4pz4u3SAME,99,109,train
248,roller skating,-E7dtcZkFzc,253,263,train
249,roller skating,-Qa-Pl1PO-8,93,103,train
250,roller skating,-TpY2n3W2vo,249,259,train
251,roller skating,-euQl2VN8tE,87,97,train
252,roller skating,-fTB1T856nM,10,20,train
253,roller skating,-ipVdP7v5Ws,113,123,train
254,roller skating,-pR9WlZfzqo,141,151,train
255,roller skating,04SngfVh3AI,97,107,train
256,roller skating,090pTj6b7wI,28,38,train
257,roller skating,0BF3GUiXZyk,626,636,train
258,roller skating,0DRwTNPTrVo,79,89,train
259,roller skating,0DS2_i1FId4,191,201,train
260,roller skating,0NF6r2zCZvs,358,368,train
261,playing flute,0Iy18mslB4A,170,180,train
262,playing flute,0OxOqcRuWJY,70,80,train
263,playing flute,0Se70qqXhPE,82,92,train
264,playing flute,0lUGBiyB1KI,59,69,train
265,playing flute,0nuiA-eLgdc,132,142,train
266,playing flute,1Su2CfxfjNg,63,73,train
267,playing flute,1dlwp4q6dPw,13,23,train
268,playing flute,1hJnwE11XZ0,0,10,train
269,playing flute,1k3y_lf2ZP8,43,53,train
270,playing flute,1lhub4HIJkw,146,156,train
271,playing flute,29TH6RoqAFk,24,34,train
272,playing flute,2JqwPwHbjE8,26,36,train
273,playing flute,2ZsfRkIqCRA,50,60,train
274,playing flute,2jiOwaCrZto,235,245,train
275,deadlifting,-Qc3fWKTszo,10,20,train
276,deadlifting,-QcSkIaJC-s,127,137,train
277,deadlifting,-Qcge8OnRgQ,26,36,train
278,deadlifting,-QeRVKnI21U,20,30,train
279,deadlifting,-QfjVxmpwIs,4,14,train
280,deadlifting,-QmoVoo4E78,41,51,train
281,deadlifting,-Qr58HymVsE,17,27,train
282,deadlifting,-gfiq14hrWs,5,15,train
283,deadlifting,-gk9vSxgShA,6,16,train
284,deadlifting,0eZurfXm8j4,12,22,train
285,deadlifting,144WxQyE9Ow,4,14,train
286,deadlifting,148gWx_kbzg,2,12,train
287,deadlifting,15GYdXuq_SQ,4,14,train
288,deadlifting,1bBSBLB40FU,2,12,train
289,bouncing on trampoline,-I_-vcckw2Q,4,14,train
290,bouncing on trampoline,-KJ-21e-nzs,2,12,train
291,bouncing on trampoline,-Rky7GPTdk4,1,11,train
292,bouncing on trampoline,-VOVRnLZVak,141,151,train
293,bouncing on trampoline,-nOh1X6WRfM,36,46,train
294,bouncing on trampoline,-w8PlhC-GyA,11,21,train
295,bouncing on trampoline,09R7dZ9eg0g,0,10,train
296,bouncing on trampoline,0Yd2aGc496E,6,16,train
297,bouncing on trampoline,0_BBTQTktn0,34,44,train
298,bouncing on trampoline,0c1fjT6Jc54,0,10,train
299,bouncing on trampoline,0hpca_nFLWI,29,39,train
300,bouncing on trampoline,0vAYwJDvH60,13,23,train
301,bouncing on trampoline,0zCzCCBXyRs,70,80,train
302,bouncing on trampoline,14E5qEtAJ0o,135,145,train
303,bouncing on trampoline,1I9HsCKi-j0,4,14,train
304,shoveling snow,-1IlTIWPNs4,27,37,train
305,shoveling snow,-AexE0IVHwE,40,50,train
306,shoveling snow,-K3W2m46ezw,1,11,train
307,shoveling snow,-N8u3wSeihI,3,13,train
308,shoveling snow,-OXQ0KE8cGg,19,29,train
309,shoveling snow,-RJjabrlrjU,148,158,train
310,shoveling snow,-YCNtd_5VTg,57,67,train
311,shoveling snow,-aYH7Dw-Edk,411,421,train
312,shoveling snow,-c3rYbtNNqw,81,91,train
313,shoveling snow,-lJzDCqh_CI,12,22,train
314,shoveling snow,-mD-yKhF5xU,195,205,train
315,shoveling snow,-osau-6p2AU,27,37,train
316,shoveling snow,-ppY7E8G3C0,207,217,train
317,shoveling snow,-q_FT4Jt23A,112,122,train
318,shoveling snow,-uWc-xNt-1I,4,14,train
319,playing keyboard,-Q8pn_086zo,202,212,train
320,playing keyboard,-Sw56gTpqS0,14,24,train
321,playing keyboard,-WxSY9sL3qo,53,63,train
322,playing keyboard,-rVZGOHdeso,64,74,train
323,playing keyboard,0MbpR9XFRUI,205,215,train
324,playing keyboard,0NN2c3H81tI,2,12,train
325,playing keyboard,0P09Z7TU8Co,1,11,train
326,playing keyboard,0WaO8qB40eQ,35,45,train
327,playing keyboard,0kRUoB7mtBY,33,43,train
328,playing keyboard,1JhKyd9mYLg,1,11,train
329,playing keyboard,1K1WmHkf-B8,6,16,train
330,playing keyboard,1_qdZv5eekw,0,10,train
331,playing keyboard,1uLIPzNnFck,198,208,train
332,celebrating,-3TTZ9RtlwM,9,19,train
333,celebrating,-5wxo2nzMvM,91,101,train
334,celebrating,-Bt5UPvDp8g,7,17,train
335,celebrating,-h0bcBISjO0,113,123,train
336,celebrating,-ieVw_C-v-E,210,220,train
337,celebrating,00I9M2Iy-IA,0,10,train
338,celebrating,0Ch-juHKRx0,65,75,train
339,celebrating,0GsGiBHqm58,253,263,train
340,celebrating,0NIzLI3uk-A,142,152,train
341,celebrating,0OVjM9WYX7U,3562,3572,train
342,celebrating,0QYChDaH-Cs,293,303,train
343,celebrating,0cKFXods2-s,42,52,train
344,celebrating,0mw6X8feZe8,294,304,train
345,celebrating,0vf_243hTB4,89,99,train
346,celebrating,156VYYahmoo,0,10,train
347,high jump,-B228_dxIVc,1,11,train
348,high jump,-GH6c7i8sKg,0,10,train
349,high jump,-I8dtKUUSQY,1,11,train
350,high jump,-ZEThexrAe0,2,12,train
351,high jump,-jT3HvUWlGs,8,18,train
352,high jump,-meoRkRbhRc,32,42,train
353,high jump,-v6Dj_-drts,3,13,train
354,high jump,06-1cMAy4Tg,3,13,train
355,high jump,0Ek-yT9nSCE,71,81,train
356,high jump,0IcWFMJUmAQ,26,36,train
357,high jump,0Qh6a92XQFM,2,12,train
358,high jump,0Rze2riwkj4,0,10,train
359,high jump,0VjTDISCbUw,1,11,train
360,high jump,0cqr9IrnoTM,0,10,train
361,high jump,0f9jcSBAfkk,4,14,train
362,capoeira,-5xDkBUtWyk,102,112,train
363,capoeira,-CineIdVOV0,461,471,train
364,capoeira,-HukMpQbvJ0,0,10,train
365,capoeira,-HvEH5HeTBc,11,21,train
366,capoeira,-YRRqM8F-AY,0,10,train
367,capoeira,-cHcQm0zNDc,58,68,train
368,capoeira,-idxvdgyOPo,27,37,train
369,capoeira,-sDM842gLsw,284,294,train
370,capoeira,-xccz8S0qTE,324,334,train
371,capoeira,-yaOMCekFug,107,117,train
372,capoeira,02haHiGAEWA,164,174,train
373,capoeira,03VkL6u0mw4,7,17,train
374,capoeira,078GCsqoETo,13,23,train
375,finger snapping,-FX7AD8Z2lc,17,27,train
376,finger snapping,-VkiZwCpqfU,4,14,train
377,finger snapping,-ZaNyzHkCGo,15,25,train
378,finger snapping,-sy0b6-NpoQ,4,14,train
379,finger snapping,-xJUzkd1-BI,9,19,train
380,finger snapping,08c-k3E-Qq4,2,12,train
381,finger snapping,0Ebn3ydH5w4,25,35,train
382,finger snapping,0Pnkj4bz1Yo,2,12,train
383,finger snapping,0QCsffcpSJA,1,11,train
384,finger snapping,0ttCqhLN6jE,33,43,train
385,finger snapping,0wR6cO3yRPs,217,227,train
386,finger snapping,0wwMf5sW_Sk,2,12,train
387,finger snapping,0ykYzQTUwOQ,1,11,train
388,finger snapping,1-p9m8VcZDo,8,18,train
389,side kick,-O04vwUG4xU,0,10,train
390,side kick,-emea7tDK0U,20,30,train
391,side kick,-hJFFGRjFfU,1,11,train
392,side kick,-o-BT5WHvBg,2,12,train
393,side kick,-uAkZjg6DWY,172,182,train
394,side kick,-zbCCfiVGYo,11,21,train
395,side kick,08UwhpFcqMc,96,106,train
396,side kick,0F1PLFSFzc0,1,11,train
397,side kick,0P6A7BFk7TQ,1,11,train
398,side kick,0T73AvNuKc4,0,10,train
399,side kick,0Yerdf3vNbA,0,10,train
400,side kick,0jD38s-_XXA,182,192,train
401,side kick,1AOZNytDQLI,6,16,train
402,side kick,1AznM0BfGb0,3,13,train
403,brushing hair,-KllW3tO0xw,0,10,train
404,brushing hair,-M-izDRnlu0,62,72,train
405,brushing hair,-OF80U4-L2s,410,420,train
406,brushing hair,-WVr7-b14fw,444,454,train
407,brushing hair,-Wq2rT-020w,54,64,train
408,brushing hair,-fTDzbATdVQ,0,10,train
409,brushing hair,-qA1hPWLxyA,1,11,train
410,brushing hair,-sMcjIsMmhA,16,26,train
411,brushing hair,02zBQozJWRQ,1,11,train
412,brushing hair,0Cwx6YMeV8g,42,52,train
413,brushing hair,0DM6qOaWkM8,114,124,train
414,brushing hair,0IP7crO-yF4,148,158,train
415,cooking sausages,-9CqeuXdCvM,80,90,train
416,cooking sausages,-cXaxE9DLTs,298,308,train
417,cooking sausages,-p46GSgNajs,328,338,train
418,cooking sausages,-rBz9EEx23M,50,60,train
419,cooking sausages,0HXY5yOs4vM,122,132,train
420,cooking sausages,0elZiVrHcak,40,50,train
421,cooking sausages,0wb1qpN5Pnw,103,113,train
422,cooking sausages,2FEwrS4jMBo,265,275,train
423,cooking sausages,2TUJ-ULecDE,82,92,train
424,cooking sausages,2gxYJIneKd0,35,45,train
425,cooking sausages,35It-NgBD98,178,188,train
426,cooking sausages,3Us0ldleUfY,214,224,train
427,cooking sausages,3gMgNoCntEk,438,448,train
428,cooking sausages,3nHc4cS9xRc,9,19,train
429,cooking sausages,3r3570nr97A,76,86,train
430,throwing ball,-NTTnYJ4J_k,45,55,train
431,throwing ball,-Smcm2tCgIc,180,190,train
432,throwing ball,-XH2-DHbGtA,14,24,train
433,throwing ball,07j123viPv8,0,10,train
434,throwing ball,0B1P40w2AFk,34,44,train
435,throwing ball,0E_Kr0--odg,47,57,train
436,throwing ball,0Zq4aCYOiZk,46,56,train
437,throwing ball,0frixOdA0JI,12,22,train
438,throwing ball,0k1bVIZgC34,4,14,train
439,throwing ball,0myKWIYhD7Y,0,10,train
440,throwing ball,15eRZCda9VI,8,18,train
441,throwing ball,15yirlFazTY,70,80,train
442,throwing ball,1KO4KH5i1rk,13,23,train
443,throwing ball,1fciSa12YL8,4,14,train
444,throwing ball,1qkN_WlaTCc,2,12,train
445,hammer throw,-6uNJNQKvO8,2,12,train
446,hammer throw,-7fdpW4lwUs,104,114,train
447,hammer throw,-ZrTWoa4Duk,1,11,train
448,hammer throw,-aa0WRWj89M,1,11,train
449,hammer throw,-fg8BZ3Wi6c,4,14,train
450,hammer throw,-lFeKfEWnfQ,3,13,train
451,hammer throw,-obP7eeuMV4,1,11,train
452,hammer throw,-qjVU8jMtWI,4,14,train
453,hammer throw,-xzK6cQoP4o,1,11,train
454,hammer throw,0RlnBRfvCko,14,24,train
455,hammer throw,0aSk9H4RmZU,21,31,train
456,hammer throw,0faTDBLIspg,0,10,train
457,hammer throw,0gwIJfTMWCg,2,12,train
458,hammer throw,0oZXiN-rpz8,4,14,train
459,hammer throw,0yTJW8E8Hpo,5,15,train
460,dribbling basketball,--4-0ihtnBU,58,68,train
461,dribbling basketball,-2UnEKzUgSU,5,15,train
462,dribbling basketball,-8_AxtRflmg,0,10,train
463,dribbling basketball,-EnWmIji1xc,120,130,train
464,dribbling basketball,-FegJMpQ2DE,63,73,train
465,dribbling basketball,-Kp1ZTCMSsQ,211,221,train
466,dribbling basketball,-_KiwxNptjs,159,169,train
467,dribbling basketball,-a6rPASijwQ,11,21,train
468,dribbling basketball,-acnXbfOk_M,123,133,train
469,dribbling basketball,00Wq2ULInyY,2,12,train
470,dribbling basketball,0TBAM9jwSrY,18,28,train
471,dribbling basketball,0aH-yGW_NyM,155,165,train
472,dribbling basketball,0c2smafL5nk,0,10,train
473,dribbling basketball,0g2Mc_WNXCM,142,152,train
474,stretching leg,-D0Ehift5UA,44,54,train
475,stretching leg,-OQQW1UOiG4,1,11,train
476,stretching leg,-f2gvaArR4U,3,13,train
477,stretching leg,-fAxrhJhFy4,1,11,train
478,stretching leg,-lAMMQFfoso,6,16,train
479,stretching leg,-sLWfi6UbK8,5,15,train
480,stretching leg,01K2CkCBJRU,97,107,train
481,stretching leg,02DqLWNxQ0M,1,11,train
482,stretching leg,08XmO2-Xy94,13,23,train
483,stretching leg,0Lct0A-F0hA,58,68,train
484,stretching leg,0R9y3v1G_DY,697,707,train
485,stretching leg,0RnftJozJAU,275,285,train
486,stretching leg,0SQd7l_YEnc,11,21,train
487,stretching leg,0UhmB8yn7wU,5,15,train
488,breakdancing,-A6-ubbxy3w,54,64,train
489,breakdancing,-IS9CSDhqfA,69,79,train
490,breakdancing,-vgNRqC56Lk,54,64,train
491,breakdancing,-zznOFzbdKQ,57,67,train
492,breakdancing,00Q1yLqGCY0,54,64,train
493,breakdancing,03LexUfuweY,18,28,train
494,breakdancing,07NVtDLt-Kc,6,16,train
495,breakdancing,0A7bjpkmc1E,185,195,train
496,breakdancing,0EI804x_Qe0,201,211,train
497,breakdancing,0Ek0SD0LLC8,0,10,train
498,breakdancing,0EkwOZ7nesY,27,37,train
499,breakdancing,0H6ylMAcLWE,193,203,train
500,breakdancing,0H7EwvA4kjg,2,12,train
501,breakdancing,0NOVAxIyAFc,32,42,train
502,snowmobiling,-51p8XCHUvU,7,17,train
503,snowmobiling,-5vutCzg7vA,16,26,train
504,snowmobiling,-8QPIN4bKDA,575,585,train
505,snowmobiling,-yxWsm4bQ4E,39,49,train
506,snowmobiling,0N62azX8OSg,68,78,train
507,snowmobiling,0eLHf6O-N_c,38,48,train
508,snowmobiling,0hxF743aOl8,2,12,train
509,snowmobiling,0u5dBZNZrCM,79,89,train
510,snowmobiling,1K5OXfQF4NA,93,103,train
511,snowmobiling,1Kv1zP0hzmo,162,172,train
512,snowmobiling,1OJUbGMGQrc,192,202,train
513,snowmobiling,1bDmZfhhTNo,91,101,train
514,snowmobiling,1l1INIUPf3I,42,52,train
515,snowmobiling,1l84CF_6o5w,8,18,train
516,canoeing or kayaking,-0JU38ZQOlY,0,10,train
517,canoeing or kayaking,-1GUNrYsD4Y,18,28,train
518,canoeing or kayaking,-6VoGglIU3o,20,30,train
519,canoeing or kayaking,-GgjAKhuuVk,1,11,train
520,canoeing or kayaking,-KFKxzZaojw,8,18,train
521,canoeing or kayaking,-TJxFWZJBH4,22,32,train
522,canoeing or kayaking,-UaTbwzki4o,50,60,train
523,canoeing or kayaking,-bIZoarubJ0,60,70,train
524,canoeing or kayaking,-bfAUrAr8ZA,142,152,train
525,canoeing or kayaking,-cGpCRJ4u2k,34,44,train
526,canoeing or kayaking,-jOJedjjk74,15,25,train
527,canoeing or kayaking,-kRblb6nuIk,70,80,train
528,canoeing or kayaking,-keFyiJ1cIg,73,83,train
529,canoeing or kayaking,-lTupVOk3AY,26,36,train
530,canoeing or kayaking,-meP1SaVafQ,18,28,train
531,headbanging,-4A5Vwel4s8,0,10,train
532,headbanging,-6OUP7kcEaU,4,14,train
533,headbanging,-6hrJT07lKk,64,74,train
534,headbanging,-CboZUYHino,10,20,train
535,headbanging,-RSJUEuvvEU,0,10,train
536,headbanging,-WN_OxBjtzw,679,689,train
537,headbanging,-d_ljddPRjw,96,106,train
538,headbanging,-hqDz946aOk,95,105,train
539,headbanging,-nt9S2JF5Vk,4,14,train
540,headbanging,-x78DitkbpU,23,33,train
541,headbanging,-yp7-fwAv74,184,194,train
542,headbanging,0AKY-yigJG0,52,62,train
543,headbanging,0BY4X8x3Kms,0,10,train
544,headbanging,0CyBCOmHQzA,4,14,train
545,exercising with an exercise ball,0FF_VU9pWJc,31,41,train
